"And Eternity","Anthony, Piers"
"For Love of Evil","Anthony, Piers"
"SOS the Rope","Anthony, Piers"
"Bearing an Hourglass","Anthony, Piers"
"Under A Velvet Cloak","Anthony, Piers"
"Statesman","Anthony, Piers"
"Out of Phaze","Anthony, Piers"
"Split Infinity","Anthony, Piers"
"Robot Adept","Anthony, Piers"
"Foundation and Empire","Asimov, Isaac"
"Prelude to Foundation","Asimov, Isaac"
"Foundation's Edge","Asimov, Isaac"
"Forward the Foundation","Asimov, Isaac"
"Foundation","Asimov, Isaac"
"Foundation and Earth","Asimov, Isaac"
"Second Foundation","Asimov, Isaac"
"Wittgenstein's Nephew","Bernhard, Thomas"
"Extinction","Bernhard, Thomas"
"Correction","Bernhard, Thomas"
"Lime Works, The","Bernhard, Thomas"
"Frost","Bernhard, Thomas"
"Concrete","Bernhard, Thomas"
"Woodcutters","Bernhard, Thomas"
"Loser, The","Bernhard, Thomas"
"Long Ships, The","Bengtsson, Frans G."
"Road to Wellville, The","Boyle, T.C."
"Heaven's Reach","Brin, David"
"Startide Rising","Brin, David"
"Infinity's Shore","Brin, David"
"Sundiver","Brin, David"
"Uplift War, The","Brin, David"
"Postman, The","Brin, David"
"Brightness Reef","Brin, David"
"Complete Chalion, The","Bujold, Lois McMaster"
"Beguilement","Bujold, Lois McMaster"
"Passage","Bujold, Lois McMaster"
"Ethan of Athos","Bujold, Lois McMaster"
"Weatherman","Bujold, Lois McMaster"
"Borders of Infinity (3-novella collection)","Bujold, Lois McMaster"
"Labyrinth","Bujold, Lois McMaster"
"Komarr","Bujold, Lois McMaster"
"Mountains of Mourning, The","Bujold, Lois McMaster"
"Winterfair Gifts","Bujold, Lois McMaster"
"Captain Vorpatril's Alliance","Bujold, Lois McMaster"
"Civil Campaign, A","Bujold, Lois McMaster"
"Horizon","Bujold, Lois McMaster"
"Mirror Dance","Bujold, Lois McMaster"
"Memory","Bujold, Lois McMaster"
"Borders of Infinity, The","Bujold, Lois McMaster"
"Brothers in Arms","Bujold, Lois McMaster"
"Cetaganda","Bujold, Lois McMaster"
"Proto Zoa","Bujold, Lois McMaster"
"Shards of Honor","Bujold, Lois McMaster"
"Falling Free","Bujold, Lois McMaster"
"Barrayar","Bujold, Lois McMaster"
"Spirit Ring, The","Bujold, Lois McMaster"
"Cryoburn","Bujold, Lois McMaster"
"Diplomatic Immunity","Bujold, Lois McMaster"
"Legacy","Bujold, Lois McMaster"
"Warrior's Apprentice, The","Bujold, Lois McMaster"
"Vor Game, The","Bujold, Lois McMaster"
"Mildred Pierce","Cain, James M."
"Postman Always Rings Twice, The","Cain, James M."
"Double Indemnity","Cain, James M."
"Shape of Water, The","Camilleri, Andrea"
"Voice of the Violin","Camilleri, Andrea"
"Patience of the Spider, The","Camilleri, Andrea"
"Excursion to Tindari","Camilleri, Andrea"
"Dance of the Seagull, The","Camilleri, Andrea"
"Age of Doubt, The","Camilleri, Andrea"
"Paper Moon, The","Camilleri, Andrea"
"Terra-Cotta Dog, The","Camilleri, Andrea"
"Snack Thief, The","Camilleri, Andrea"
"Rounding the Mark","Camilleri, Andrea"
"Track of Sand, The","Camilleri, Andrea"
"August Heat","Camilleri, Andrea"
"Wings of the Sphinx, The","Camilleri, Andrea"
"Potter's Field, The","Camilleri, Andrea"
"Smell of the Night, The","Camilleri, Andrea"
"Music For Chameleons","Capote, Truman"
"Christmas Memory, A","Capote, Truman"
"Other Voices, Other Rooms","Capote, Truman"
"In Cold Blood","Capote, Truman"
"Complete Stories, The","Capote, Truman"
"Breakfast at Tiffany's","Capote, Truman"
"Answered Prayers","Capote, Truman"
"Manhood for Amateurs","Chabon, Michael"
"Gentlemen of the Road: A Tale of Adventure","Chabon, Michael"
"Telegraph Avenue","Chabon, Michael"
"Mysteries of Pittsburgh, The","Chabon, Michael"
"Final Solution, The","Chabon, Michael"
"Yiddish Policemen's Union, The","Chabon, Michael"
"Maps and Legends","Chabon, Michael"
"Gentlemen of the Road","Chabon, Michael"
"Poodle Springs","Chandler, Raymond"
"Little Sister, The","Chandler, Raymond"
"Farewell, My Lovely","Chandler, Raymond"
"Playback","Chandler, Raymond"
"Long Goodbye, The","Chandler, Raymond"
"Big Sleep, The","Chandler, Raymond"
"Simple Art of Murder, The","Chandler, Raymond"
"High Window, The","Chandler, Raymond"
"Lady in the Lake, The","Chandler, Raymond"
"Pretender","Cherryh, C.J."
"Inheritor","Cherryh, C.J."
"Foreigner","Cherryh, C.J."
"Explorer","Cherryh, C.J."
"Invader","Cherryh, C.J."
"Precursor","Cherryh, C.J."
"Deliverer","Cherryh, C.J."
"Destroyer","Cherryh, C.J."
"Defender","Cherryh, C.J."
"Big Four: A Hercule Poirot Mystery, The","Christie, Agatha"
"N or M?: A Tommy and Tuppence Mystery","Christie, Agatha"
"Murder Is Announced: A Miss Marple Mystery, A","Christie, Agatha"
"Evil Under the Sun: A Hercule Poirot Mystery","Christie, Agatha"
"Adventure of the Christmas Pudding, The","Christie, Agatha"
"Curtain: Poirot's Last Case: Hercule Poirot Investigates","Christie, Agatha"
"Cat Among the Pigeons: A Hercule Poirot Mystery","Christie, Agatha"
"Why Didn't They Ask Evans?","Christie, Agatha"
"Autobiography, An","Christie, Agatha"
"4:50 From Paddington","Christie, Agatha"
"Sad Cypress: Hercule Poirot Investigates","Christie, Agatha"
"Dumb Witness: A Hercule Poirot Mystery","Christie, Agatha"
"Black Coffee","Christie, Agatha"
"Crooked House","Christie, Agatha"
"Five Little Pigs: A Hercule Poirot Mystery","Christie, Agatha"
"Hollow: A Hercule Poirot Mystery, The","Christie, Agatha"
"Spider's Web","Christie, Agatha"
"Hercule Poirot's Christmas: A Hercule Poirot Mystery","Christie, Agatha"
"Hound of Death, The","Christie, Agatha"
"Sparkling Cyanide","Christie, Agatha"
"By the Pricking of My Thumbs:","Christie, Agatha"
"Death Comes as the End","Christie, Agatha"
"Death in the Clouds: A Hercule Poirot Mystery","Christie, Agatha"
"Elephants Can Remember","Christie, Agatha"
"Mirror Crack'd From Side to Side: A Miss Marple Mystery, The","Christie, Agatha"
"Three Blind Mice and Other Stories","Christie, Agatha"
"Postern of Fate","Christie, Agatha"
"Murder in Mesopotamia","Christie, Agatha"
"Thirteen Problems, The","Christie, Agatha"
"Three Act Tragedy: A Hercule Poirot Mystery","Christie, Agatha"
"Regatta Mystery and Other Stories: Featuring Hercule Poirot, Miss Marple, and Mr. Parker Pyne, The","Christie, Agatha"
"Secret Adversary: A Tommy & Tuppence Adventure, The","Christie, Agatha"
"Clocks: A Hercule Poirot Mystery, The","Christie, Agatha"
"Passenger to Frankfurt","Christie, Agatha"
"Murder on the Links: A Hercule Poirot Mystery, The","Christie, Agatha"
"Mysterious Mr. Quin: A Short Story Collection, The","Christie, Agatha"
"While the Light Lasts","Christie, Agatha"
"Peril at End House","Christie, Agatha"
"Labours of Hercules: Hercule Poirot Investigates, The","Christie, Agatha"
"At Bertram's Hotel","Christie, Agatha"
"Problem at Pollensa Bay","Christie, Agatha"
"Ordeal by Innocence","Christie, Agatha"
"After the Funeral: A Hercule Poirot Mystery","Christie, Agatha"
"Witness for the Prosecution and Other Stories, The","Christie, Agatha"
"One, Two, Buckle My Shoe: A Hercule Poirot Mystery","Christie, Agatha"
"Golden Ball and Other Stories, The","Christie, Agatha"
"Hickory Dickory Dock: A Hercule Poirot Mystery","Christie, Agatha"
"Murder at the Vicarage, The","Christie, Agatha"
"Taken at the Flood: Hercule Poirot Investigates","Christie, Agatha"
"Death on the Nile: Hercule Poirot Investigates","Christie, Agatha"
"Listerdale Mystery","Christie, Agatha"
"Double Sin and Other Stories","Christie, Agatha"
"They Do It With Mirrors","Christie, Agatha"
"Cards on the Table: A Hercule Poirot Mystery","Christie, Agatha"
"Murder in the Mews: Four Cases of Hercule Poirot","Christie, Agatha"
"Mrs. McGinty's Dead: Hercule Poirot Investigates","Christie, Agatha"
"Dead Man's Folly: Hercule Poirot Investigates","Christie, Agatha"
"Mysterious Affair at Styles, The","Christie, Agatha"
"Unexpected Guest, The","Christie, Agatha"
"Unexpected Guest","Christie, Agatha"
"Destination Unknown","Christie, Agatha"
"Harlequin Tea Set and Other Stories, The","Christie, Agatha"
"Parker Pyne Investigates","Christie, Agatha"
"Seven Dials Mystery, The","Christie, Agatha"
"Murder Is Easy","Christie, Agatha"
"They Came to Baghdad","Christie, Agatha"
"Man in the Brown Suit, The","Christie, Agatha"
"Murder on the Orient Express","Christie, Agatha"
"Mystery of the Blue Train: Hercule Poirot Investigates, The","Christie, Agatha"
"Hallowe'en Party: A Hercule Poirot Mystery","Christie, Agatha"
"Miss Marple: The Complete Short Stories","Christie, Agatha"
"Towards Zero","Christie, Agatha"
"Lord Edgware Dies: A Hercule Poirot Mystery","Christie, Agatha"
"Moving Finger, The","Christie, Agatha"
"Partners in Crime: A Tommy & Tuppence Adventure","Christie, Agatha"
"Under Dog and Other Stories, The","Christie, Agatha"
"Sleeping Murder: Miss Marple's Last Case","Christie, Agatha"
"Pocket Full of Rye, A","Christie, Agatha"
"Caribbean Mystery: A Miss Marple Mystery, A","Christie, Agatha"
"A.B.C. Murders, The","Christie, Agatha"
"Secret of Chimneys, The","Christie, Agatha"
"Sittaford Mystery, The","Christie, Agatha"
"Third Girl","Christie, Agatha"
"Nemesis","Christie, Agatha"
"Appointment With Death: A Hercule Poirot Mystery","Christie, Agatha"
"Poirot Investigates: Hercule Poirot Investigates","Christie, Agatha"
"Murder of Roger Ackroyd: A Hercule Poirot Mystery, The","Christie, Agatha"
"Miss Marple's Final Cases: And Two Other Stories","Christie, Agatha"
"Poirot's Early Cases","Christie, Agatha"
"Hercule Poirot's Casebook","Christie, Agatha"
"And Then There Were None","Christie, Agatha"
"Body in the Library, The","Christie, Agatha"
"Pale Horse, The","Christie, Agatha"
"Endless Night","Christie, Agatha"
"Short Stories","Simak, Clifford D."
"All the Traps of Earth: And Other Stories","Simak, Clifford D."
"Enchanted Pilgrimage","Simak, Clifford D."
"Strangers in the Universe","Simak, Clifford D."
"Shakespeares Planet","Simak, Clifford D."
"Best of Clifford D. Simak, The","Simak, Clifford D."
"Civilisation Game and Other Stories, The","Simak, Clifford D."
"All Flesh Is Grass and Other Stories","Simak, Clifford D."
"Way Station","Simak, Clifford D."
"Project Pope","Simak, Clifford D."
"Ring Around the Sun","Simak, Clifford D."
"Choice of Gods, A","Simak, Clifford D."
"So Bright the Vision (UC)","Simak, Clifford D."
"Cemetery World","Simak, Clifford D."
"Fellowship of the Talisman, The","Simak, Clifford D."
"Trouble & Tycho, The","Simak, Clifford D."
"Heritage of Stars, A","Simak, Clifford D."
"Goblin Reservation, The","Simak, Clifford D."
"Out of Their Minds","Simak, Clifford D."
"Our Children's Children","Simak, Clifford D."
"Werewolf Principle, The","Simak, Clifford D."
"City","Simak, Clifford D."
"Time & Again","Simak, Clifford D."
"Destiny Doll","Simak, Clifford D."
"Cosmic engineers","Simak, Clifford D."
"Empire","Simak, Clifford D."
"Why Call Them Back from Heaven","Simak, Clifford D."
"Street That Wasn't There, The","Simak, Clifford D."
"Special Deliverance","Simak, Clifford D."
"Visitors, The","Simak, Clifford D."
"creator and other stories, The","Simak, Clifford D."
"Death in the House, A","Simak, Clifford D."
"Sinister Pig, The","Hillerman, Tony"
"Sacred Clowns","Hillerman, Tony"
"People Of Darkness","Hillerman, Tony"
"Blessing Way, The","Hillerman, Tony"
"First Eagle, The","Hillerman, Tony"
"Dark Wind, The","Hillerman, Tony"
"Listening Woman","Hillerman, Tony"
"Fallen Man, The","Hillerman, Tony"
"Ghostway, The","Hillerman, Tony"
"Skeleton Man","Hillerman, Tony"
"Dance Hall Of The Dead","Hillerman, Tony"
"Thief Of Time, A","Hillerman, Tony"
"Skinwalkers","Hillerman, Tony"
"Coyote Waits","Hillerman, Tony"
"Hunting Badger","Hillerman, Tony"
"Talking God","Hillerman, Tony"
"Wailing Wind, The","Hillerman, Tony"
"Shape Shifter, The","Hillerman, Tony"
"Spider Woman's Daughter","Hillerman, Anne"
"See Delphi And Die","Davis, Lindsey"
"Ode To A Banker","Davis, Lindsey"
"Iron Hand of Mars, The","Davis, Lindsey"
"One Virgin Too Many","Davis, Lindsey"
"Dying Light in Corduba, A","Davis, Lindsey"
"Silver Pigs, The","Davis, Lindsey"
"Body In The Bath House, A","Davis, Lindsey"
"Alexandria","Davis, Lindsey"
"Shadows in Bronze","Davis, Lindsey"
"Three Hands in The Fountain","Davis, Lindsey"
"Poseidon's Gold","Davis, Lindsey"
"Accusers, The","Davis, Lindsey"
"Jupiter Myth, The","Davis, Lindsey"
"Time to Depart","Davis, Lindsey"
"Scandal Takes a Holiday","Davis, Lindsey"
"Venus In Copper","Davis, Lindsey"
"Last Act In Palmyra","Davis, Lindsey"
"Saturnalia","Davis, Lindsey"
"Two For The Lions","Davis, Lindsey"
"Nemesis","Davis, Lindsey"
"Falco: The Official Companion","Davis, Lindsey"
"Alice Adams","Tarkington, Booth"
"Beloved","Morrison, Toni"
"Death in the Family, A","Agee, James"
"Age of Innocence, The","Wharton, Edith"
"Good Earth, The","Buck, Pearl S."
"Rabbit at Rest","Updike, John"
"Breathing Lessons","Tyler, Anne"
"Rabbit Is Rich","Updike, John"
"Stone Diaries, The","Shields, Carol"
"Foreign Affairs","Lurie, Alison"
"Visit From the Goon Squad, A","Egan, Jennifer"
"Magnificent Ambersons, The","Tarkington, Booth"
"Hours","Cunningham, Michael"
"Killer Angels, The","Shaara, Michael"
"March","Brooks, Geraldine"
"Road, The","McCarthy, Cormac"
"All the King's Men","Warren, Robert Penn"
"Color Purple, The","Walker, Alice"
"Keepers of the House, The","Grau, Shirley Ann"
"Fixer, The","Malamud, Bernard"
"Fable, A","Faulkner, William"
"Executioner's Song, The","Mailer, Norman"
"Thousand Acres, A","Smiley, Jane"
"Bridge of San Luis Rey, The","Wilder, Thornton"
"Brief Wondrous Life of Oscar Wao, The","Diaz, Junot"
"Interpreter of Maladies","Lahiri, Jhumpa"
"Shipping News","Proulx, Annie"
"Tales of the South Pacific","Michener, James A."
"Old Man And The Sea, The","Hemingway, Ernest"
"Humboldt's Gift","Bellow, Saul"
"Optimist's Daughter, The","Welty, Eudora"
"To Kill A Mockingbird","Lee, Harper"
"Empire Falls","Russo, Richard"
"Grapes of Wrath, The","Steinbeck, John"
"Confederacy of Dunces, A","Toole, John Kennedy"
"Caine Mutiny, The","Wouk, Herman"
"Gone With the Wind","Mitchell, Margaret"
"Ironweed","Kennedy, William"
"Confessions of Nat Turner","Styron, William"
"Katherine Anne Porter: Collected Stories and Essays","Porter, Katherine Anne"
"Olive Kitteridge","Strout, Elizabeth"
"His Family","Poole, Ernest"
"One of Ours","Cather, Willa"
"Yearling, The","Rawlings, Marjorie Kinnan"
"Tinkers","Harding, Paul"
"Middlesex","Eugenides, Jeffrey"
"Lonesome Dove","McMurtry, Larry"
"American Pastoral","Roth, Philip"
"Stories of John Cheever, The","Cheever, John"
"Gilead","Robinson, Marilynne"
"Known World, The","Jones, Edward P."
"Independence Day","Ford, Richard"
"Reivers, The","Faulkner, William"
"Amazing Adventures of Kavalier & Clay, The","Chabon, Michael"
"Warrior Chronicles, The","Cornwell, Bernard"
"Azincourt","Cornwell, Bernard"
"Stonehenge","Cornwell, Bernard"
"Sharpe's Sword","Cornwell, Bernard"
"Sharpe's Devil","Cornwell, Bernard"
"Sharpe's Gold","Cornwell, Bernard"
"Sharpe's Trafalgar","Cornwell, Bernard"
"Sharpe's Escape","Cornwell, Bernard"
"Sharpe's Prey","Cornwell, Bernard"
"Sharpe's Rifles","Cornwell, Bernard"
"Sharpe's Eagle","Cornwell, Bernard"
"Sharpe's fury","Cornwell, Bernard"
"Sharpe's Revenge","Cornwell, Bernard"
"Sharpe's Triumph","Cornwell, Bernard"
"Sharpe's Regiment","Cornwell, Bernard"
"Sharpe's Enemy","Cornwell, Bernard"
"Sharpe's Havoc","Cornwell, Bernard"
"Sharpe's Honour","Cornwell, Bernard"
"Sharpe's Fortress","Cornwell, Bernard"
"Sharpe's Christmas","Cornwell, Bernard"
"Sharpe's Waterloo","Cornwell, Bernard"
"Sharpe's Battle","Cornwell, Bernard"
"Sharpe's Skirmish","Cornwell, Bernard"
"Sharpe's Siege","Cornwell, Bernard"
"Sharpe's Company","Cornwell, Bernard"
"Copperhead","Cornwell, Bernard"
"Bloody Ground, The","Cornwell, Bernard"
"Rebel","Cornwell, Bernard"
"Battle flag","Cornwell, Bernard"
"Harlequin","Cornwell, Bernard"
"Heretic","Cornwell, Bernard"
"Vagabond","Cornwell, Bernard"
1356,"Cornwell, Bernard"
"Enemy of God","Cornwell, Bernard"
"Winter King, The","Cornwell, Bernard"
"Excalibur","Cornwell, Bernard"
"Sea Lord","Cornwell, Bernard"
"Crackdown","Cornwell, Bernard"
"Wildtrack","Cornwell, Bernard"
"Stormchild","Cornwell, Bernard"
"Sharpe's Tiger","Cornwell, Bernard"
"Silent Speaker, The","Stout, Rex"
"Not Quite Dead Enough","Stout, Rex"
"Officer and Lady","Stout, Rex"
"Rose Orchid","Stout, Rex"
"Tyrant Abdicates, A","Stout, Rex"
"And Be a Villain","Stout, Rex"
"Too Many Women","Stout, Rex"
"Man Alive","Stout, Rex"
"Too Many Clients","Stout, Rex"
"Die Like A Dog","Stout, Rex"
"When A Man Murders","Stout, Rex"
"Three at Wolfe's Door","Stout, Rex"
"Death of a Doxy","Stout, Rex"
"Three Doors to Death","Stout, Rex"
"Before Midnight","Stout, Rex"
"4th Of July Picnic","Stout, Rex"
"World Series Murder","Stout, Rex"
"Next Witness, The","Stout, Rex"
"Door To Death","Stout, Rex"
"Blood Will Tell","Stout, Rex"
"Black Mountain, The","Stout, Rex"
"Doorbell Rang, The","Stout, Rex"
"Three Witnesses","Stout, Rex"
"Trio for Blunt Instruments","Stout, Rex"
"Kill Now Pay Later","Stout, Rex"
"Under the Andes","Stout, Rex"
"Please Pass the Guilt","Stout, Rex"
"Too Many Cooks","Stout, Rex"
"Family Affair, A","Stout, Rex"
"Gambit","Stout, Rex"
"If Death Ever Slept","Stout, Rex"
"Trouble in Triplicate","Stout, Rex"
"League of Frightened Men, The","Stout, Rex"
"Rubber Band, The","Stout, Rex"
"Mother Hunt, The","Stout, Rex"
"Fer-De-Lance","Stout, Rex"
"Some Buried Caesar","Stout, Rex"
"Over My Dead Body","Stout, Rex"
"Red Box, The","Stout, Rex"
"Golden Spiders, The","Stout, Rex"
"Three Men Out","Stout, Rex"
"Black Orchids","Stout, Rex"
"Death of a Dude","Stout, Rex"
"Prisoner's Base","Stout, Rex"
"In the Best Families","Stout, Rex"
"Plot It Yourself","Stout, Rex"
"Might as Well Be Dead","Stout, Rex"
"Final Deduction, The","Stout, Rex"
"Triple Jeopardy","Stout, Rex"
"Father Hunt, The","Stout, Rex"
"Curtains for Three","Stout, Rex"
"Homicide Trinity","Stout, Rex"
"Champagne for One","Stout, Rex"
"And Four to Go","Stout, Rex"
"Second Confession, The","Stout, Rex"
"Three for the Chair","Stout, Rex"
"Right to Die, A","Stout, Rex"
"Murder by the Book","Stout, Rex"
"Pay Yeoman, The","Stout, Rex"
"Mother of Invention, The","Stout, Rex"
"Jonathan Stannard's Secret Vice","Stout, Rex"
"Agacella Or, An","Stout, Rex"
"Where There's a Will","Stout, Rex"
"Forgotten Man, the","Crais, Robert"
"Indigo Slam","Crais, Robert"
"Last Detective, The","Crais, Robert"
"Free Fall","Crais, Robert"
"Watchman, The","Crais, Robert"
"Two Minute Rule, The","Crais, Robert"
"Sunset Express","Crais, Robert"
"Voodoo River","Crais, Robert"
"L.A. Requiem","Crais, Robert"
"Hostage","Crais, Robert"
"Lullaby Town","Crais, Robert"
"Demolition Angel","Crais, Robert"
"First Rule, The","Crais, Robert"
"Stalking the Angel","Crais, Robert"
"Chasing Darkness","Crais, Robert"
"Monkey's Raincoat, The","Crais, Robert"
"Back to Bologna","Dibdin, Michael"
"Cabal","Dibdin, Michael"
"Long Finish, A","Dibdin, Michael"
"End Games","Dibdin, Michael"
"Cosi Fan Tutti","Dibdin, Michael"
"Dead Lagoon","Dibdin, Michael"
"And Then You Die","Dibdin, Michael"
"Vendetta","Dibdin, Michael"
"Medusa","Dibdin, Michael"
"Ratking","Dibdin, Michael"
"Blood Rain","Dibdin, Michael"
"Gaudy Night","Sayers, Dorothy L."
